Scenario,InitialDiff,ResourceOverlap,FracRefuge,FightingDiff,MutationRate,BaseNestlSurv,NestSurvSpeciesModifier,Replicates_ALL,Replicates_NF,Replicates_nf_1K,Replicates_nf_end,Pr_Coexist,Pr_Sp1_Extinct,Pr_Sp2_Extinct,Coexistence_outcome,Mean_coexistence,dZ1_1K,dZ2_1K,dMu1_1K,dMu2_1K,dSig1_1K,dSig2_1K,dZ1Mu1_1K,dZ2Mu2_1K,dZ1Mu2_1K,dZ2Mu1_1K,Pr_Divergence_1K,Pr_Sp1diverging_1K,Pr_Sp2diverging_1K,Pr_Convergence_1K,Pr_Sp1converging_1K,Pr_Sp2converging_1K,Pr_Sp1chasing2_1K,Pr_Sp2chasing1_1K,Pr_Stasis_1K,Pr_Z1diverging_1K,Pr_Z2diverging_1K,Pr_Mu1diverging_1K,Pr_Mu2diverging_1K,Pr_Z1converging_1K,Pr_Z2converging_1K,Pr_Mu1converging_1K,Pr_Mu2converging_1K,Pr_Z1Mu2diverging_1K,Pr_Z2Mu1diverging_1K,Pr_Z2Mu1converging_1K,Pr_Z1Mu2converging_1K,Pr_Z1Z2diverging_1K,Pr_Mu1Mu2diverging_1K,Pr_Z1Z2converging_1K,Pr_Mu1Mu2converging_1K,Pr_Z1chasingMu2_1K,Pr_Z2chasingMu1_1K,Pr_Mu1chasingZ2_1K,Pr_Mu2chasingZ1_1K,Trait_outcome_1K,dZ1,dZ2,dMu1,dMu2,dSig1,dSig2,dZ1Mu1,dZ2Mu2,dZ1Mu2,dZ2Mu1,Pr_Divergence,Pr_Sp1diverging,Pr_Sp2diverging,Pr_Convergence,Pr_Sp1converging,Pr_Sp2converging,Pr_Sp1chasing2,Pr_Sp2chasing1,Pr_Stasis,Pr_Z1diverging,Pr_Z2diverging,Pr_Mu1diverging,Pr_Mu2diverging,Pr_Z1converging,Pr_Z2converging,Pr_Mu1converging,Pr_Mu2converging,Pr_Z1Mu2diverging,Pr_Z2Mu1diverging,Pr_Z2Mu1converging,Pr_Z1Mu2converging,Pr_Z1Z2diverging,Pr_Mu1Mu2diverging,Pr_Z1Z2converging,Pr_Mu1Mu2converging,Pr_Z1chasingMu2,Pr_Z2chasingMu1,Pr_Mu1chasingZ2,Pr_Mu2chasingZ1,Trait_outcome
1,1,0,0,-50,1e-04,0.29167,0.023,14,14,5,5,0.357142857142857,0,0.642857142857143,Coexist_or_sp2_extinct,3225.42857142857,-0.6520177188,3.496238916,-0.6268247508,3.3769055382,0.3695631114,-0.0214504308,0.1540805772,0.054502815,5.0157811328,5.1264898136,0.4,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp2diverging_Divergence,-0.6520177188,3.496238916,-0.6268247508,3.3769055382,0.3695631114,-0.0214504308,0.1540805772,0.054502815,5.0157811328,5.1264898136,0.4,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp2diverging_Divergence
2,1,0,0,-25,1e-04,0.29167,0.023,16,15,4,4,0.266666666666667,0,0.733333333333333,Coexist_or_sp2_extinct,2415.66666666667,-0.226494069,3.42572081425,-0.5629797435,3.051796269,0.26025032525,-0.18743535775,0.21129457075,0.09020608425,4.97662601125,5.21163000275,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp2diverging,-0.226494069,3.42572081425,-0.5629797435,3.051796269,0.26025032525,-0.18743535775,0.21129457075,0.09020608425,4.97662601125,5.21163000275,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp2diverging
3,1,0,0,-15,1e-04,0.29167,0.023,14,14,10,10,0.714285714285714,0,0.285714285714286,Coexist_or_sp2_extinct,6432.57142857143,-0.596854043,3.6086242251,-0.7168789064,3.5363536926,0.3422843853,0.2547412692,0.1100033636,0.0738872035,5.3016780857,5.3664516519,0.3,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp2diverging_Divergence,-0.596854043,3.6086242251,-0.7168789064,3.5363536926,0.3422843853,0.2547412692,0.1100033636,0.0738872035,5.3016780857,5.3664516519,0.3,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp2diverging_Divergence
4,1,0,0,-10,1e-04,0.29167,0.023,14,14,14,14,1,0,0,Coexist,8999,-0.946185086428571,2.8308560165,-0.920841553714286,2.90819143628571,0.196993045357143,-0.0792217844285714,0.100894244571429,0.0970676818571429,4.84414320607143,4.92983206535714,0.428571428571429,0,0.571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp2diverging_Divergence,-0.946185086428571,2.8308560165,-0.920841553714286,2.90819143628571,0.196993045357143,-0.0792217844285714,0.100894244571429,0.0970676818571429,4.84414320607143,4.92983206535714,0.428571428571429,0,0.571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp2diverging_Divergence
5,1,0,0,-5,1e-04,0.29167,0.023,14,14,14,14,1,0,0,Coexist,8999,-1.38621565492857,2.58069016171429,-1.50867830221429,2.55558672678571,0.195060161142857,0.0184094507142857,0.1560630515,0.186419656142857,5.03626183878571,5.2822088905,0.928571428571429,0,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp2diverging_Divergence,-1.38621565492857,2.58069016171429,-1.50867830221429,2.55558672678571,0.195060161142857,0.0184094507142857,0.1560630515,0.186419656142857,5.03626183878571,5.2822088905,0.928571428571429,0,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp2diverging_Divergence
6,1,0,0,0,1e-04,0.29167,0.023,14,12,12,12,1,0,0,Coexist,8999,-2.20574402075,1.89931319666667,-2.29465573041667,1.7432234965,0.0242260093333333,0.04407123325,0.0937671450833333,0.132248770833333,5.083431712,5.20172680483333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Divergence,-2.20574402075,1.89931319666667,-2.29465573041667,1.7432234965,0.0242260093333333,0.04407123325,0.0937671450833333,0.132248770833333,5.083431712,5.20172680483333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Divergence
7,1,0,0.05,-50,1e-04,0.29167,0.023,14,12,8,8,0.666666666666667,0,0.333333333333333,Coexist_or_sp2_extinct,6010.66666666667,-0.7460978785,3.624375565,-0.750603146625,3.2154792545,0.320388761125,0.07286224125,0.122817982375,0.48626870925,4.974619058,5.525055686125,0.375,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp2diverging_Divergence,-0.7460978785,3.624375565,-0.750603146625,3.2154792545,0.320388761125,0.07286224125,0.122817982375,0.48626870925,4.974619058,5.525055686125,0.375,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp2diverging_Divergence
8,1,0,0.05,-25,1e-04,0.29167,0.023,16,15,12,12,0.8,0,0.2,Coexist_or_sp2_extinct,7208.33333333333,-0.525483949583333,3.21820024733333,-0.683894607583333,3.28085255416667,0.145028578916667,-0.0626729070833333,0.0718497603333333,0.187143465583333,4.99703098333333,4.96044148041667,0.166666666666667,0,0.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp2diverging_Divergence,-0.525483949583333,3.21820024733333,-0.683894607583333,3.28085255416667,0.145028578916667,-0.0626729070833333,0.0718497603333333,0.187143465583333,4.99703098333333,4.96044148041667,0.166666666666667,0,0.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp2diverging_Divergence
9,1,0,0.05,-15,1e-04,0.29167,0.023,14,12,9,9,0.75,0,0.25,Coexist_or_sp2_extinct,6757.33333333333,-0.720755526666667,3.46331302255556,-0.957827413444444,3.10657294255556,0.261137126111111,-0.0490709008888889,0.111772864222222,0.0788181991111111,5.25143302344444,5.36312238977778,0.555555555555556,0,0.444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp2diverging_Divergence,-0.720755526666667,3.46331302255556,-0.957827413444444,3.10657294255556,0.261137126111111,-0.0490709008888889,0.111772864222222,0.0788181991111111,5.25143302344444,5.36312238977778,0.555555555555556,0,0.444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp2diverging_Divergence
10,1,0,0.05,-10,1e-04,0.29167,0.023,14,12,11,11,0.916666666666667,0,0.0833333333333333,Coexist_or_sp2_extinct,8252.33333333333,-1.12514632463636,3.18195210263636,-0.952466101181818,2.90233530227273,0.154729215909091,-0.0490360205454545,0.111670836181818,0.08671669,5.10268220218182,5.21644842363636,0.545454545454545,0,0.454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp2diverging_Divergence,-1.12514632463636,3.18195210263636,-0.952466101181818,2.90233530227273,0.154729215909091,-0.0490360205454545,0.111670836181818,0.08671669,5.10268220218182,5.21644842363636,0.545454545454545,0,0.454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp2diverging_Divergence
